lng,lat,heatwave,seamask,xd,yd,ddis,sst,anom,sst_dis,td_flag
-179.875,-45.625,1,,-179.875,-47.125,166.792389966843,14.6409997940063,1.21889078617096,13.3179998397827,TRUE
-179.875,-45.375,1,,-179.875,-47.125,194.591121627989,14.7109994888306,1.20802760124207,13.3179998397827,TRUE
-179.875,-45.125,1,,-179.875,-47.125,222.389853289132,14.7516660690308,1.2440550327301,13.3179998397827,TRUE
-179.875,-44.875,1,,-179.875,-47.125,250.188584950263,14.6709995269775,1.23005354404449,13.3179998397827,TRUE
-179.875,-44.625,1,,176.875,-44.375,259.233972461152,14.5476665496826,1.14133071899414,13.4039993286133,TRUE
-179.875,-44.375,1,,176.875,-44.375,258.292006932722,14.5106658935547,0.979623317718506,13.4039993286133,TRUE
-179.875,-44.125,1,,177.875,-44.375,181.347710193559,14.6723327636719,0.828966975212097,13.8033332824707,TRUE
-179.875,-43.875,1,,179.375,-44.125,66.1176781734278,15.0246667861938,0.724901556968689,14.2846660614014,TRUE
-179.875,-43.625,1,,179.625,-43.875,48.8437244632712,15.5913333892822,0.763565003871918,14.7999992370605,TRUE
-179.875,-43.375,1,,-179.875,-43.875,55.5974633222641,16.2110004425049,0.840801894664764,15.0246667861938,TRUE
-179.875,-43.125,1,,-179.875,-43.625,55.5974633223451,16.7296657562256,0.852771580219269,15.5913333892822,TRUE
-179.875,-42.875,1,,-179.875,-43.375,55.5974633222641,17.0909996032715,0.812870681285858,16.2110004425049,TRUE
-179.875,-42.625,1,,179.625,-43.125,68.9283090910022,17.2536659240723,0.707888126373291,16.4659996032715,TRUE
-179.875,-35.375,1,,-179.875,-36.625,138.993658305687,20.728666305542,0.769574046134949,19.9049987792969,TRUE
-179.875,-35.125,1,,-179.875,-36.125,111.194926644507,21.0576667785645,0.986962080001831,20.0629997253418,TRUE
-179.875,-34.875,1,,179.125,-35.125,95.2325855828069,21.3166656494141,1.1249281167984,20.154333114624,TRUE
-179.875,-34.625,1,,179.375,-35.125,88.1592586750539,21.4593334197998,1.14565801620483,20.2840003967285,TRUE
-179.875,-34.375,1,,179.125,-34.875,107.066887723438,21.5616664886475,1.12944149971008,20.2686653137207,TRUE
-179.875,-34.125,1,,179.375,-34.875,108.066713206332,21.6099987030029,1.06475496292114,20.4329986572266,TRUE
-179.875,-33.875,1,,179.125,-34.625,124.106778920007,21.6146659851074,0.953044176101685,20.5469989776611,TRUE
-179.875,-33.625,1,,179.375,-34.625,130.881873975186,21.6359996795654,0.833567380905151,20.691333770752,TRUE
-179.875,-31.125,1,,179.125,-31.875,126.267121509381,23.2010002136231,1.00675010681152,22.1789989471436,TRUE
